"gender","ethnicity","birth","stark","star1","star2","star3","readk","read1","read2","read3","mathk","math1","math2","math3","lunchk","lunch1","lunch2","lunch3","schoolk","school1","school2","school3","degreek","degree1","degree2","degree3","ladderk","ladder1","ladder2","ladder3","experiencek","experience1","experience2","experience3","tethnicityk","tethnicity1","tethnicity2","tethnicity3","systemk","system1","system2","system3","schoolidk","schoolid1","schoolid2","schoolid3"
"female","afam",1979 Q3,,,,"regular",,,,580,,,,564,,,,"free",,,,"suburban",,,,"bachelor",,,,"level1",,,,30,,,,"cauc",,,,"22",,,,"54"
"female","cauc",1980 Q1,"small","small","small","small",447,507,568,587,473,538,579,593,"non-free","free","non-free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","level1","apprentice","apprentice",7,7,3,1,"cauc","cauc","cauc","cauc","30","30","30","30","63","63","63","63"
"female","afam",1979 Q4,"small","small","regular+aide","regular+aide",450,579,588,644,536,592,579,639,"non-free",,"non-free","non-free","suburban","suburban","suburban","suburban","bachelor","master","bachelor","bachelor","level1","probation","level1","level1",21,32,4,4,"cauc","afam","afam","cauc","11","11","11","11","20","20","20","20"
"male","cauc",1979 Q4,,,,"small",,,,686,,,,667,,,,"non-free",,,,"rural",,,,"bachelor",,,,"level1",,,,10,,,,"cauc",,,,"6",,,,"8"
"male","afam",1980 Q1,"regular+aide",,,,439,,,,463,,,,"free",,,,"inner-city",,,,"bachelor",,,,"probation",,,,0,,,,"cauc",,,,"11",,,,"19",,,
"male","cauc",1979 Q3,,,"regular","regular",,,,644,,,,648,,,"non-free","non-free",,,"rural","rural",,,"bachelor","bachelor",,,"notladder","level1",,,13,15,,,"cauc","cauc",,,"6","6",,,"8","8"
"male","afam",1979 Q1,,,,"regular+aide",,,,,,,,,,,,"free",,,,"inner-city",,,,"bachelor",,,,"notladder",,,,17,,,,"afam",,,,"11",,,,"31"
"female","cauc",1979 Q4,,"regular+aide","regular+aide","regular+aide",,475,573,599,,512,550,583,,"non-free","non-free","non-free",,"rural","rural","rural",,"master","master","bachelor",,"apprentice","level1","level3",,8,13,23,,"cauc","afam","cauc",,"4","4","4",,"5","5","5"
"male","cauc",1979 Q2,,"regular","regular","regular",,,,,,,,,,"non-free","non-free","non-free",,"rural","rural","rural",,"master","bachelor","bachelor",,"level1","level1","level1",,13,6,8,,"cauc","cauc","cauc",,"40","40","40",,"77","77","77"
"male","cauc",1979 Q3,,"regular","regular","regular",,651,596,626,,532,590,618,,"non-free","non-free","non-free",,"rural","rural","rural",,"bachelor","bachelor","master",,"level1","level1","level1",,7,8,8,,"cauc","cauc","cauc",,"21","21","21",,"50","50","50"
"male","cauc",1980 Q2,"regular","regular","regular","regular",448,651,614,641,559,584,639,684,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","level3","level1","level1",16,11,31,7,"cauc","cauc","cauc","cauc","35","35","35","35","69","69","69","69"
"male","cauc",1980 Q2,"small","small","small","small",447,533,608,665,489,545,603,648,"free","free","free","free","rural","rural","rural","rural","bachelor","master","master","bachelor","level1","level1","level1","level1",5,15,14,14,"cauc","cauc","cauc","cauc","41","41","41","41","79","79","79","79"
"male","cauc",1980 Q2,"regular","regular","regular","regular",431,558,608,597,454,553,579,589,"free",,"free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","probation","level1","level1",8,0,9,8,"cauc","cauc","cauc","cauc","4","4","4","4","5","5","5","5"
"female","afam",1980 Q2,"regular+aide","regular",,,395,454,,,423,490,,,"free","free",,,"inner-city","inner-city",,,"master","bachelor",,,"level1","level1",,,17,5,,,"cauc","cauc",,,"11","11",,,"16","16",,
"female","cauc",1980 Q1,,,"regular","regular",,,586,606,,,603,631,,,"non-free","non-free",,,"suburban","suburban",,,"bachelor","master",,,"level1","level1",,,4,19,,,"cauc","cauc",,,"17","17",,,"41","41"
"female","cauc",1980 Q1,,"regular","small","small",,505,539,597,,493,590,589,,"non-free",,"free",,"urban","urban","urban",,"bachelor","bachelor","bachelor",,"level1","level1","level1",,17,28,13,,"cauc","cauc","cauc",,"20","20","20",,"48","48","48"
"female","afam",1980 Q2,,"regular",,,,472,,,,481,,,,"free",,,,"suburban",,,,"bachelor",,,,"probation",,,,1,,,,"afam",,,,"22",,,,"51",,
"female","afam",1979 Q3,,,"regular+aide","regular+aide",,,520,578,,,540,606,,,"free","free",,,"inner-city","inner-city",,,"master","bachelor",,,,"level1",,,2,26,,,"cauc","afam",,,"11","11",,,"19","19"
"female","afam",1980 Q3,,,,"small",,,,,,,,,,,,,,,,"inner-city",,,,"master",,,,"level1",,,,21,,,,"afam",,,,"11",,,,"15"
"male","afam",1980 Q2,,"small",,,,571,,,,567,,,,"free",,,,"suburban",,,,"master",,,,"level3",,,,14,,,,"cauc",,,,"22",,,,"51",,
"female","cauc",1980 Q1,"regular","regular","regular","regular",451,548,596,606,500,567,587,667,"non-free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","specialist","apprentice","level1","notladder","level1",3,5,18,13,"afam","cauc","cauc","cauc","24","24","41","41","56","56","78","78"
"male","cauc",1979 Q2,,"regular+aide",,,,453,,,,484,,,,"free",,,,"rural",,,,"bachelor",,,,"level1",,,,13,,,,"cauc",,,,"6",,,,"8",,
"female","afam",1980 Q3,"small","small","small","small",478,514,569,606,439,461,584,596,"non-free","non-free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","level1","level1","level1",11,31,14,14,"cauc","cauc","cauc","cauc","8","8","8","8","11","11","11","11"
"male","cauc",1979 Q4,,,,"regular+aide",,,,606,,,,568,,,,"free",,,,"rural",,,,"bachelor",,,,"apprentice",,,,2,,,,"cauc",,,,"36",,,,"71"
"female","cauc",1980 Q3,"small","small","small","small",455,530,608,654,528,507,546,606,"non-free","free","non-free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","level1","apprentice","notladder",10,4,1,24,"cauc","cauc","cauc","cauc","32","32","32","32","66","66","66","66"
"male","cauc",1979 Q1,,,,"regular+aide",,,,564,,,,564,,,,"non-free",,,,"rural",,,,"bachelor",,,,"level1",,,,13,,,,"cauc",,,,"32",,,,"66"
